Date,High,Low,Open,Close,Volume,Adj Close
2012-10-01,3.369999885559082,3.2674999237060547,3.3499999046325684,3.2799999713897705,50423600.0,3.012528419494629
2012-10-02,3.302500009536743,3.255000114440918,3.302500009536743,3.2925000190734863,29549200.0,3.024010181427002
2012-10-03,3.309999942779541,3.242500066757202,3.299999952316284,3.259999990463257,43087200.0,2.994159698486328
2012-10-04,3.424999952316284,3.25,3.2674999237060547,3.4049999713897705,50260800.0,3.127336025238037
2012-10-05,3.450000047683716,3.3125,3.4149999618530273,3.325000047683716,48306800.0,3.053858995437622
2012-10-08,3.327500104904175,3.2674999237060547,3.3125,3.2925000190734863,24059600.0,3.024010181427002
2012-10-09,3.297499895095825,3.2125000953674316,3.2874999046325684,3.2225000858306885,36636000.0,2.9597182273864746
2012-10-10,3.2225000858306885,3.1549999713897705,3.2074999809265137,3.1675000190734863,32656800.0,2.909203290939331
2012-10-11,3.2074999809265137,3.1600000858306885,3.197499990463257,3.184999942779541,32051600.0,2.925276041030884
2012-10-12,3.1875,3.137500047683716,3.1624999046325684,3.1575000286102295,26069600.0,2.9000184535980225
2012-10-15,3.200000047683716,3.125,3.1624999046325684,3.197499990463257,24958000.0,2.9367566108703613
2012-10-16,3.299999952316284,3.194999933242798,3.2249999046325684,3.2899999618530273,36769600.0,3.0217137336730957
2012-10-17,3.2799999713897705,3.2174999713897705,3.25,3.265000104904175,39175200.0,2.9987521171569824
2012-10-18,3.257499933242798,3.202500104904175,3.257499933242798,3.2149999141693115,25477200.0,2.952829122543335
2012-10-19,3.190000057220459,3.009999990463257,3.1675000190734863,3.0274999141693115,70941200.0,2.780618667602539
2012-10-22,3.057499885559082,2.9674999713897705,3.0399999618530273,2.992500066757202,48084000.0,2.74847412109375
2012-10-23,3.1024999618530273,2.9574999809265137,2.9649999141693115,3.0824999809265137,57394800.0,2.831134557723999
2012-10-24,3.115000009536743,3.012500047683716,3.1024999618530273,3.0425000190734863,33291600.0,2.794395685195923
2012-10-25,3.0999999046325684,3.0325000286102295,3.067500114440918,3.0450000762939453,30735600.0,2.796691656112671
2012-10-26,3.067500114440918,3.012500047683716,3.049999952316284,3.012500047683716,38937600.0,2.7668421268463135
2012-10-31,3.049999952316284,2.987499952316284,3.0250000953674316,2.994999885559082,34711200.0,2.7507691383361816
